Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
ANILLO DE CRANEOS GRIS,,199,2507081807187,pcs,20,75,35.0,0,0,0,1,0,1,anillo llanta,8,,4,8,1,2
marmol 7.5,,200,2507081838242,pcs,550,0,850.0,0,0,0,1,0,1,marmol 7.5,1,,1,0,0,0
panda gris,,201,2507091754037,pcs,550,0,850.0,0,0,0,1,0,1,panda gris,1,,,,,
LLAVERO FANTASMA 3D,,202,2507101845304,pcs,0,0,35.0,0,0,0,1,0,1,LLAVERO FANTASMA 3D,1,,,,,
placa azul fantasmas,,203,2507108285618,pcs,40,275,150.0,0,0,0,1,0,1,placa azul fantasmas,0,,,,,
llavero de cascos,,204,2507081841075,pcs,17.1,0,35.0,0,0,0,1,0,1,llavero de cascos,3,,,,,
pleca,,205,2507121315085,,0,0,40.0,,0,0,1,0,1,,15,,,,,
PANTALONES DE MEZCLILLA HOM,,206,2507121428389,pcs,150,0,290.0,0,0,0,1,0,1,PANTALONES DE MEZCLILLA HOM,0,,,,,
PANTALONES DE MEZCLILLA MUJ,,207,2507121432201,pcs,150,0,260.0,0,0,0,1,0,1,PANTALONES DE MEZCLILLA MUJ,0,,,,,
playeras calaveras,,208,2507141403076,pcs,50,40,70.0,0,0,0,1,0,1,playeras calaveras,5,,,,,
bolsas mujer,,209,2507141403229,pcs,50,60,80.0,0,0,0,1,0,1,bolsas mujer,2,,,,,
pecheras,,210,2507141403304,pcs,60,33.3333,80.0,0,0,0,1,0,1,pecheras,2,,,,,
cinturones cadenas,,211,2507141403434,pcs,80,50,120.0,0,0,0,1,0,1,cinturones cadenas,1,,,,,
Lanyard,,212,2507141404059,pcs,20,100,40.0,0,0,0,1,0,1,Lanyard,13,,,,,
Bancos,,213,2507141404226,pcs,100,40,140.0,0,0,0,1,0,1,Bancos,2,,,,,
mangas licra,,214,2507141407111,pcs,15,66.6667,25.0,0,0,0,1,0,1,mangas licra,18,,,,,
buff liso,,215,2507141409054,18,20,125,45.0,0,0,0,1,0,1,buff liso,3,,,,,
buff Camuflaje,,216,2507141409368,2,25,80,45.0,0,0,0,1,0,1,buff Camuflaje,1,,,,,
pasamontañas,,217,2507141410449,pcs,30,130,69.0,0,0,0,1,0,1,pasamontañas,3,,,,,
carteras,,218,2507141410319,pcs,45,88.8889,85.0,0,0,0,1,0,1,carteras,3,,,,,
diana,,219,2507141711188,pcs,100,300,400.0,0,0,0,1,0,1,diana,1,,,,,
BUFFS SENCILLOS,,220,2507151514335,pcs,11.12,79.8561,20.0,0,0,0,1,0,1,BUFFS SENCILLOS,28,,,,,
GORROS FANTASMA,,228,2507171838268,pcs,0,0,250.0,0,0,0,1,0,1,GORROS FANTASMA,5,,,,,
RELOJES,,229,2507171845440,pcs,400,0,650.0,0,0,0,1,0,1,RELOJES,3,,,,,
ATRAPA SUEÑOS ACERO,,230,2507171848526,pcs,120,65.8333,199.0,0,0,0,1,0,1,ATRAPA SUEÑOS ACERO,17,,,,,
ALMOHADON,,231,2507171951448,pcs,0,0,350.0,0,0,0,1,0,1,AMOHADON,1,,,,,
